item_id,fable,option_a,option_b,option_c,option_d,option_e,correct_idx,correct_moral
morables_15,"Long ago, the mice had a general council to consider what measures they could take to outwit their common enemy, the Cat. Some said this, and some said that; but at last a young mouse got up and said he had a proposal to make, which he thought would meet the case. You will all agree, said he, that our chief danger consists in the sly and treacherous manner in which the enemy approaches us. Now, if we could receive some signal of her approach, we could easily escape from her. I venture, therefore, to propose that a small bell be procured, and attached by a ribbon round the neck of the Cat. By this means we should always know when she was about, and could easily retire while she was in the neighbourhood. This proposal met with general applause, until an old mouse got up and said: That is all very well, but who is to bell the Cat? The mice looked at one another and nobody spoke.",It is easy to propose impossible remedies.,Nature reveals itself.,Wisdom sees through treachery.,Rushing into optimistic invitations can lead to treacherous consequences.,Even the boldest ideas require practical execution.,0,It is easy to propose impossible remedies.
morables_16,"The Members of the Body rebelled against the Belly, and said, 'Why should we be perpetually engaged in administering to your wants, while you do nothing but take your rest, and enjoy yourself in luxury and self-indulgence?' The Members carried out their resolve and refused their assistance to the Belly. The whole Body quickly became debilitated, and the hands, feet, mouth, and eyes, when too late, repented of their folly.",Each member in his proper sphere must work for the common good,Be careful what you wish for.,Foolish indulgence leads to regret.,A rebellious and resentful person deservedly comes to a foolish end by keeping company with other wicked people.,Self-indulgence invites the withdrawal of support.,0,Each member in his proper sphere must work for the common good
morables_17,"A Birdcatcher was about to sit down to a dinner of herbs when a friend unexpectedly came in. The bird-trap was quite empty, as he had caught nothing, and he had to kill a pied Partridge, which he had tamed for a decoy. The bird entreated earnestly for his life: What would you do without me when next you spread your nets? Who would chirp you to sleep, or call for you the covey of answering birds?' The Birdcatcher spared his life, and determined to pick out a fine young Cock just attaining to his comb. But the Cock expostulated in piteous tones from his perch: If you kill me, who will announce to you the appearance of the dawn? Who will wake you to your daily tasks or tell you when it is time to visit the bird-trap in the morning?' He replied, What you say is true. You are a capital bird at telling the time of day. But my friend and I must have our dinners.",Necessity knows no law.,A wise person readily tolerates the insolence of strangers when he sees those same strangers mistreating one another.,Decisive action can tame the unexpected.,"Do not fear death, as it is the final goodbye to all the piteous troubles, demanding pains, and dangers of life.","In times of scarcity, even cherished bonds may be tested.",0,Necessity knows no law.
morables_18,"A Very Skillful Bowman went to the mountains in search of game, but all the beasts of the forest fled at his approach. The Lion alone challenged him to combat. The Bowman immediately shot out an arrow and said to the Lion: 'I send thee my messenger, that from him thou mayest learn what I myself shall be when I assail thee'. The wounded Lion rushed away in great fear, and when a Fox who had seen it all happen told him to be of good courage and not to back off at the first attack he replied: 'You counsel me in vain; for if he sends so fearful a messenger, how shall I abide the attack of the man himself?'",Be on guard against men who can strike from a distance.,Know yourself and your limits.,Skillful counsel calms fear.,Fearsome small liberties can be observant large offenses.,Even the most skilled can be thwarted by their own reputation.,0,Be on guard against men who can strike from a distance.
morables_19,"A Boy put his hand into a pitcher full of filberts. He grasped as many as he could possibly hold, but when he tried to pull out his hand, he was prevented from doing so by the neck of the pitcher. Unwilling to lose his filberts, and yet unable to withdraw his hand, he burst into tears and bitterly lamented his disappointment. A bystander said to him, Be satisfied with half the quantity, and you will readily draw out your hand.",Do not attempt too much at once.,Avoid overindulgence.,Greed blinds wisdom.,A life of greedy hoarding and wealth leads to wise misery.,"Sometimes, a little restraint can lead to greater rewards.",0,Do not attempt too much at once.
morables_20,"Some Boys, playing near a pond, saw a number of Frogs in the water and began to pelt them with stones. They killed several of them, when one of the Frogs, lifting his head out of the water, cried out: Pray stop, my boys: what is sport to you, is death to us.",One man's pleasure may be another's pain.,Those who won't learn from advice must be taught by experience.,Cruelty preys on the helpless.,Cruel people who do harm to victimized others destroy themselves in the bargain.,Thoughtless actions can cause harm to the innocent.,0,One man's pleasure may be another's pain.
morables_21,"A Boy was stung by a Nettle. He ran home and told his Mother, saying, Although it hurts me very much, I only touched it gently. That was just why it stung you, said his Mother. The next time you touch a Nettle, grasp it boldly, and it will be soft as silk to your hand, and not in the least hurt you.","Whatever you do, do with all your might.",Avoid overindulgence.,Gentle advice can soothe stinging words.,"Stinging, clumsy jesting is no gentle joke.",Small encounters can teach great caution.,0,"Whatever you do, do with all your might."
morables_22,"At a country fair there was a Buffoon who made all the people laugh by imitating the cries of various animals. He finished off by squeaking so like a pig that the spectators thought that he had a porker concealed about him. But a Countryman who stood by said: Call that a pig s squeak! Nothing like it. You give me till tomorrow and I will show you what it's like. The audience laughed, but next day, sure enough, the Countryman appeared on the stage, and putting his head down squealed so hideously that the spectators hissed and threw stones at him to make him stop. You fools! he cried, see what you have been hissing, and held up a little pig whose ear he had been pinching to make him utter the squeals.",Men often applaud an imitation and hiss the real thing.,"Injuries may be forgiven, but not forgotten.",Cleverness outwits gullibility.,"Be cautious of gullible pride, as nobody knows what the reactive future may bring.",True talent is often mistaken for trickery.,0,Men often applaud an imitation and hiss the real thing.
morables_23,"The gods were once disputing whether it was possible for a living being to change its nature. Jupiter said Yes, but Venus said No. So, to try the question, Jupiter turned a Cat into a Maiden, and gave her to a young man for a wife. The wedding was duly performed and the young couple sat down to the wedding-feast. See, said Jupiter, to Venus, how becomingly she behaves. Who could tell that yesterday she was but a Cat? Surely her nature is changed? 'Wait a minute', replied Venus, and let loose a mouse into the room. No sooner did the bride see this than she jumped up from her seat and tried to pounce upon the mouse.",Nature reveals itself.,Fortune can occasionally bestow favours that exceed a person's hopes and expectations.,"Stay observant, even when optimistic.",Powerful intent matters more than the optimistic outcome.,Even the divine can disagree on the essence of change.,0,Nature reveals itself.
morables_24,"A Cat fell in love with a handsome young man, and entreated Venus to change her into the form of a woman. Venus consented to her request and transformed her into a beautiful damsel, so that the youth saw her and loved her, and took her home as his bride. While the two were reclining in their chamber, Venus wishing to discover if the Cat in her change of shape had also altered her habits of life, let down a mouse in the middle of the room. The Cat, quite forgetting her present condition, started up from the couch and pursued the mouse, wishing to eat it. Venus was much disappointed and again caused her to return to her former shape.",Nature reveals itself.,aesop_section_1_41.,Innocence can transform disappointment.,"In instinctive conflicts between powerful parties, innocent bystanders may suffer unintended consequences.","True love seeks acceptance, not transformation.",0,Nature reveals itself.
morables_25,"A Certain House was overrun with Mice. A Cat, discovering this, made her way into it and began to catch and eat them one by one. Fearing for their lives, the Mice kept themselves close in their holes. The Cat was no longer able to get at them and perceived that she must tempt them forth by some device. For this purpose she jumped upon a peg, and suspending herself from it, pretended to be dead. One of the Mice, peeping stealthily out, saw her and said, Ah, my good madam, even though you should turn into a meal-bag, we will not come near you.",He who is once deceived is doubly cautious.,Beware of when the powerful and the deceitful collaborate.,Caution tempers cunning.,Relying too much on cunning subordinates can lead to cautious unintended consequences.,Unchecked problems invite opportunistic solutions.,0,He who is once deceived is doubly cautious.
morables_26,"A cock was once strutting up and down the farmyard among the hens when suddenly he espied something shinning amid the straw. Ho! ho! quoth he, that's for me, and soon rooted it out from beneath the straw. What did it turn out to be but a Pearl that by some chance had been lost in the yard? You may be a treasure, quoth Master Cock, to men that prize you, but for me I would rather have a single barley-corn than a peck of pearls.",Precious things are for those that can prize them.,Different people are interested in different things.,Pride often blinds practicality.,Take care of the proud little things and the pragmatic big things will take care of themselves.,True value is often hidden beneath the surface.,0,Precious things are for those that can prize them.
morables_27,"A Crow, half-dead with thirst, came upon a Pitcher which had once been full of water; but when the Crow put its beak into the mouth of the Pitcher he found that only very little water was left in it, and that he could not reach far enough down to get at it. He tried, and he tried, but at last had to give up in despair. Then a thought came to him, and he took a pebble and dropped it into the Pitcher. Then he took another pebble and dropped it into the Pitcher. Then he took another pebble and dropped that into the Pitcher. Then he took another pebble and dropped that into the Pitcher. Then he took another pebble and dropped that into the Pitcher. Then he took another pebble and dropped that into the Pitcher. At last, at last, he saw the water mount up near him, and after casting in a few more pebbles he was able to quench his thirst and save his life.",Little by little does the trick.,Those who won't learn from advice must be taught by experience.,Resourcefulness finds a way.,Boast of one empty thing and you will be found lacking in that and a few other resourceful things as well.,Persistence without adaptation may lead to exhaustion.,0,Little by little does the trick.
morables_28,"A Prince had some Monkeys trained to dance. Being naturally great mimics of men's actions, they showed themselves most apt pupils, and when arrayed in their rich clothes and masks, they danced as well as any of the courtiers. The spectacle was often repeated with great applause, till on one occasion a courtier, bent on mischief, took from his pocket a handful of nuts and threw them upon the stage. The Monkeys at the sight of the nuts forgot their dancing and became (as indeed they were) Monkeys instead of actors. Pulling off their masks and tearing their robes, they fought with one another for the nuts. The dancing spectacle thus came to an end amidst the laughter and ridicule of the audience.",Men often revert to their natural instincts.,Those who avoid hardship may miss out on valuable rewards.,Mimicking the powerful can lead to mischief.,Playful beauty is in the amused eyes of the beholder.,"Imitation may entertain, but it cannot replace authenticity.",0,Men often revert to their natural instincts.
morables_29,"A Rich Man gave a great feast, to which he invited many friends and acquaintances. His Dog availed himself of the occasion to invite a stranger Dog, a friend of his, saying, My master gives a feast, and there is always much food remaining; come and sup with me tonight. The Dog thus invited went at the hour appointed, and seeing the preparations for so grand an entertainment, said in the joy of his heart, How glad I am that I came! I do not often get such a chance as this. I will take care and eat enough to last me both today and tomorrow. While he was congratulating himself and wagging his tail to convey his pleasure to his friend, the Cook saw him moving about among his dishes and, seizing him by his fore and hind paws, bundled him without ceremony out of the window. He fell with force upon the ground and limped away, howling dreadfully. His yelling soon attracted other street dogs, who came up to him and inquired how he had enjoyed his supper. He replied, Why, to tell you the truth, I drank so much wine that I remember nothing. I do not know how I got out of the house.",Those who enter by the back stairs may expect to be shown out at the window.,Enemies promises were made to be broken.,Generosity invites hope.,"Better to face a known danger than to trust a curious, deceitful promise of safety.",Generosity can extend beyond intended boundaries.,0,Those who enter by the back stairs may expect to be shown out at the window.
morables_30,"A Dog looking out for its afternoon nap jumped into the Manger of an Ox and lay there cosily upon the straw. But soon the Ox, returning from its afternoon work, came up to the Manger and wanted to eat some of the straw. The Dog in a rage, being awakened from its slumber, stood up and barked at the Ox, and whenever it came near attempted to bite it. At last the Ox had to give up the hope of getting at the straw, and went away.",People often grudge others what they cannot enjoy themselves.,Each stage of life has its own gifts.,Patience outlasts selfish hunger.,A selfish and aggressive nature does not produce a good character.,Selfishness can deny others their rightful comfort.,0,People often grudge others what they cannot enjoy themselves.
morables_31,"It happened that a Dog had got a piece of meat and was carrying it home in his mouth to eat it in peace. Now on his way home he had to cross a plank lying across a running brook. As he crossed, he looked down and saw his own shadow reflected in the water beneath. Thinking it was another dog with another piece of meat, he made up his mind to have that also. So he made a snap at the shadow in the water, but as he opened his mouth the piece of meat fell out, dropped into the water and was never seen more.","He who covets what belongs to another, deservedly loses his own.",Each stage of life has its own gifts.,Greed blinds wisdom.,A greedy bribe in hand betrays foolish mischief at heart.,Fortune found in silence calls for vigilant care.,0,"He who covets what belongs to another, deservedly loses his own."
morables_32,"An Eagle sat on a lofty rock, watching the movements of a Hare whom he sought to make his prey. An archer, who saw the Eagle from a place of concealment, took an accurate aim and wounded him mortally. The Eagle gave one look at the arrow that had entered his heart and saw in that single glance that its feathers had been furnished by himself. 'It is a double grief to me', he excAn Eagle and a Fox formed an intimate friendship and decided to live near each other. The Eagle built her nest in the branches of a tall tree, while the Fox crept into the underwood and there produced her young. Not long after they had agreed upon this plan, the Eagle, being in want of provision for her young ones, swooped down while the Fox was out, seized upon one of the little cubs, and feasted herself and her brood. The Fox on her return, discovered what had happened, but was less grieved for the death of her young than for her inability to avenge them. A just retribution, however, quickly fell upon the Eagle. While hovering near an altar, on which some villagers were sacrificing a goat, she suddenly seized a piece of the flesh, and carried it, along with a burning cinder, to her nest. A strong breeze soon fanned the spark into a flame, and the eaglets, as yet unfledged and helpless, were roasted in their nest and dropped down dead at the bottom of the tree. There, in the sight of the Eagle, the Fox gobbled them up.laimed, 'that I should perish by an arrow feathered from my own wings.'",How often do we supply our enemies with the means of our own destruction.,The weak may find a way to avenge a wrong.,Pride blinds the vulnerable.,The concealed safeguards of vulnerable virtue are hateful to those with evil intentions.,Patience can reveal the perfect moment to act.,0,How often do we supply our enemies with the means of our own destruction.
morables_33,"Some Cranes made their feeding grounds on some plowlands newly sown with wheat. For a long time the Farmer, brandishing an empty sling, chased them away by the terror he inspired; but when the birds found that the sling was only swung in the air, they ceased to take any notice of it and would not move. The Farmer, on seeing this, charged his sling with stones, and killed a great number. The remaining birds at once forsook his fields, crying to each other, It is time for us to be off to Liliput: for this man is no longer content to scare us, but begins to show us in earnest what he can do.","If words suffice not, blows must follow.",Beware the sort of person who uses tricks.,Strategy overcomes fear.,God is the observant and strategic ultimate judge.,Opportunism can lead to unexpected consequences.,0,"If words suffice not, blows must follow."
morables_34,"One Winter a Farmer found a Snake stiff and frozen with cold. He had compassion on it, and taking it up, placed it in his bosom. The Snake was quickly revived by the warmth, and resuming its natural instincts, bit its benefactor, inflicting on him a mortal wound. 'Oh', cried the Farmer with his last breath, 'I am rightly served for pitying a scoundrel.'",The greatest kindness will not bind the ungrateful.,The man who treats others well is rewarded by gratitude.,Gratitude prevents regret.,"Injuries may be regretfully forgiven, but not ungratefully forgotten.","Even in the coldest times, a touch of compassion can revive what seems lost.",0,The greatest kindness will not bind the ungrateful.
morables_35,"A Farmer placed nets on his newly-sown plowlands and caught a number of Cranes, which came to pick up his seed. With them he trapped a Stork that had fractured his leg in the net and was earnestly beseeching the Farmer to spare his life. Pray save me, Master, he said, and let me go free this once. My broken limb should excite your pity. Besides, I am no Crane, I am a Stork, a bird of excellent character; and see how I love and slave for my father and mother. Look too, at my feathers-- they are not the least like those of a Crane. The Farmer laughed aloud and said, It may be all as you say, I only know this: I have taken you with these robbers, the Cranes, and you must die in their company.",Birds of a feather flock together.,Do unto others what you would have them do unto you.,Mercy softens the sternest hearts.,Be content with your stern lot; one cannot be first in unforgiving everything.,Diligent planning ensnares opportunistic intruders.,0,Birds of a feather flock together.
morables_36,"It happened that a Fisher, after fishing all day, caught only a little fish. Pray, let me go, master, said the Fish. I am much too small for your eating just now. If you put me back into the river I shall soon grow, then you can make a fine meal off me. Nay, nay, my little Fish, said the Fisher, I have you now. I may not catch you hereafter.",A little thing in hand is worth more than a great thing in prospect.,When you are in a man's power you must do as he bids you.,Small efforts yield great results.,Practical abstain and determined enjoy.,Even the smallest catch can hold the greatest wisdom.,0,A little thing in hand is worth more than a great thing in prospect.
morables_37,"A Fisherman skilled in music took his flute and his nets to the seashore. Standing on a projecting rock, he played several tunes in the hope that the fish, attracted by his melody, would of their own accord dance into his net, which he had placed below. At last, having long waited in vain, he laid aside his flute, and casting his net into the sea, made an excellent haul of fish. When he saw them leaping about in the net upon the rock he said: 'O you most perverse creatures, when I piped you would not dance, but now that I have ceased you do so merrily.'",To do the right thing at the right season is a great art.,Some never understand the actions of others.,Hope can outshine perversity.,"Life is a mixture of grief and hopeful, merry joy.",Harmonizing talents can yield unexpected rewards.,0,To do the right thing at the right season is a great art.
morables_38,"A Lion used to prowl about a field in which Four Oxen used to dwell. Many a time he tried to attack them; but whenever he came near they turned their tails to one another, so that whichever way he approached them he was met by the horns of one of them. At last, however, they fell a-quarrelling among themselves, and each went off to pasture alone in a separate corner of the field. Then the Lion attacked them one by one and soon made an end of all four.",Union is strength.,Be yourself and don't pretend to be someone you're not.,Unity protects the vulnerable.,Cunning small liberties can be vulnerable large offenses.,Even the simplest scene may hide a lurking danger.,0,Union is strength.
morables_39,"A fox climbing up over a fence was about to slip and fall, so she reached out and grabbed hold of a bramble bush but the brambles scratched the soft padding of the fox's paws. Stung by the sharp pain, the fox asked the bramble bush why she had acted so cruelly, when the fox had simply grabbed onto her for help. The bramble replied, 'My dear, you must be out of your mind to grab hold of someone like me, since I am the one who always grabs everyone else!'",It is foolish to expect help from someone who is naturally unkind.,No one should boast when his prowess is a matter of mere circumstance.,Cruelty stings the sharpest.,"A single sharp skill is worth more than a bag of cruel, useless tricks.","In seeking support, be mindful of the harm it may cause.",0,It is foolish to expect help from someone who is naturally unkind.
morables_40,"A Fox was boasting to a Cat of its clever devices for escaping its enemies. I have a whole bag of tricks, he said, which contains a hundred ways of escaping my enemies. I have only one, said the Cat; but I can generally manage with that. Just at that moment they heard the cry of a pack of hounds coming towards them, and the Cat immediately scampered up a tree and hid herself in the boughs. This is my plan, said the Cat. What are you going to do? The Fox thought first of one way, then of another, and while he was debating the hounds came nearer and nearer, and at last the Fox in his confusion was caught up by the hounds and soon killed by the huntsmen.",Better one safe way than a hundred on which you cannot reckon.,A single reliable skill is worth more than a bag of useless tricks.,Boastful persistence can be dangerous.,There is as much quick malice in a dangerous wink as in a word.,Indecision can be more dangerous than the threat itself.,0,Better one safe way than a hundred on which you cannot reckon.
